Debug    | 2021-12-14 12:08:30 周二 | :0,  | between getImage and find the object time: 81
Debug    | 2021-12-14 12:08:30 周二 | :0,  | between getImage and find the object time: 81
Debug    | 2021-12-14 12:08:30 周二 | :0,  | between getImage and find the object time: 82
Debug    | 2021-12-14 12:08:30 周二 | :0,  | between getImage and find the object time: 85
Debug    | 2021-12-14 12:08:31 周二 | :0,  | between getImage and find the object time: 85
Debug    | 2021-12-14 12:08:31 周二 | :0,  | between getImage and find the object time: 81
Debug    | 2021-12-14 12:08:31 周二 | :0,  | change camera mode ==> gogo
Debug    | 2021-12-14 12:08:31 周二 | :0,  | in CaptureThread::run() 

Debug    | 2021-12-14 12:08:31 周二 | :0,  | between getImage and find the object time: 69
Debug    | 2021-12-14 12:08:32 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:32 周二 | :0,  | change camera mode ==> trigger
Debug    | 2021-12-14 12:08:32 周二 | :0,  | in CaptureThread::run() 

Debug    | 2021-12-14 12:08:33 周二 | :0,  | change camera mode ==> gogo
Debug    | 2021-12-14 12:08:34 周二 | :0,  | in CaptureThread::run() 

Debug    | 2021-12-14 12:08:34 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:34 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:34 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:34 周二 | :0,  | between getImage and find the object time: 70
Debug    | 2021-12-14 12:08:35 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:35 周二 | :0,  | between getImage and find the object time: 73
Debug    | 2021-12-14 12:08:35 周二 | :0,  | between getImage and find the object time: 73
Debug    | 2021-12-14 12:08:35 周二 | :0,  | between getImage and find the object time: 73
Debug    | 2021-12-14 12:08:35 周二 | :0,  | between getImage and find the object time: 70
Debug    | 2021-12-14 12:08:35 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:35 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:35 周二 | :0,  | between getImage and find the object time: 73
Debug    | 2021-12-14 12:08:35 周二 | :0,  | between getImage and find the object time: 74
Debug    | 2021-12-14 12:08:35 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:36 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:36 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:36 周二 | :0,  | between getImage and find the object time: 70
Debug    | 2021-12-14 12:08:36 周二 | :0,  | between getImage and find the object time: 67
Debug    | 2021-12-14 12:08:36 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:36 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:36 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:36 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:36 周二 | :0,  | between getImage and find the object time: 70
Debug    | 2021-12-14 12:08:36 周二 | :0,  | between getImage and find the object time: 80
Debug    | 2021-12-14 12:08:37 周二 | :0,  | between getImage and find the object time: 78
Debug    | 2021-12-14 12:08:37 周二 | :0,  | between getImage and find the object time: 69
Debug    | 2021-12-14 12:08:37 周二 | :0,  | between getImage and find the object time: 84
Debug    | 2021-12-14 12:08:37 周二 | :0,  | between getImage and find the object time: 74
Debug    | 2021-12-14 12:08:37 周二 | :0,  | between getImage and find the object time: 73
Debug    | 2021-12-14 12:08:37 周二 | :0,  | between getImage and find the object time: 73
Debug    | 2021-12-14 12:08:37 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:37 周二 | :0,  | between getImage and find the object time: 75
Debug    | 2021-12-14 12:08:37 周二 | :0,  | between getImage and find the object time: 82
Debug    | 2021-12-14 12:08:37 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:38 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:38 周二 | :0,  | between getImage and find the object time: 77
Debug    | 2021-12-14 12:08:38 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:38 周二 | :0,  | between getImage and find the object time: 70
Debug    | 2021-12-14 12:08:38 周二 | :0,  | between getImage and find the object time: 67
Debug    | 2021-12-14 12:08:38 周二 | :0,  | between getImage and find the object time: 69
Debug    | 2021-12-14 12:08:38 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:38 周二 | :0,  | between getImage and find the object time: 72
Debug    | 2021-12-14 12:08:38 周二 | :0,  | between getImage and find the object time: 73
Debug    | 2021-12-14 12:08:38 周二 | :0,  | between getImage and find the object time: 70
Debug    | 2021-12-14 12:08:39 周二 | :0,  | between getImage and find the object time: 71
Debug    | 2021-12-14 12:08:39 周二 | :0,  | between getImage and find the object time: 67
Debug    | 2021-12-14 12:08:39 周二 | :0,  | between getImage and find the object time: 67
Debug    | 2021-12-14 12:08:39 周二 | :0,  | between getImage and find the object time: 68
Debug    | 2021-12-14 12:08:39 周二 | :0,  | between getImage and find the object time: 68
Debug    | 2021-12-14 12:08:39 周二 | :0,  | between getImage and find the object time: 69
Debug    | 2021-12-14 12:08:39 周二 | :0,  | between getImage and find the object time: 68
Debug    | 2021-12-14 12:08:39 周二 | :0,  | between getImage and find the object time: 69
Debug    | 2021-12-14 12:08:39 周二 | :0,  | between getImage and find the object time: 67
Debug    | 2021-12-14 12:08:39 周二 | :0,  | between getImage and find the object time: 68
